Date,Sender,Subject
2021-04-19 08:20:09,TechGig Latest News ,"Wipro is offering internship opportunity for BTech, BCA, MCA & BE
 freshers | Infosys, TCS, HCL Tech, Wipro to hire around 1 lakh techies in
 FY22"
2021-04-19 08:24:11,TimesJobs Job Alert ,"Sunny: Excelloite, mantis hr consulting and FresherMart jobs for you"
2021-04-19 03:12:29,hirist.com ,"Top Jobs from Leading IT/Tech Companies like Flipkart, Redbus,
 Amazon, Paytm etc"
2021-04-19 03:32:52,Amazon.in ,Call your friends & family with Alexa Hands-Free
2021-04-19 09:20:45,TimesJobs Job Alert ,"Hi Sunny, NTT Data Vertex Software Inc.  is looking for : Helpdesk
 Associate"
2021-04-19 09:45:52,TimesJobs Research ,"Hi Sunny, HSBC Holdings PLC is hiring for various job profiles in
 Pune; Apply now"
2021-04-19 04:25:44,GitHub ,GitHub Explore today Apr 19
2021-04-19 05:37:45,Google ,Security alert
2021-04-19 12:34:17,Team HR ,"Sunny Singh, trending jobs (of the week) based on your recent
 activity"
2021-04-19 07:12:48,Amazon.in ,"Your Amazon.in order #403-6911470-6035518 of 1 item has been
 dispatched"
2021-04-19 03:20:45,"Tracy Boles, SPN News ",The Leading Ecommerce Marketplace Solutions of 2021
2021-04-19 07:59:56,LinkedIn Job Alerts ,1 new job for 'machine learning engineer'
2021-04-19 08:19:32,PFIZER - Post Your Resume ,PFIZER Notification
2021-04-19 08:30:09,Google ,Security alert
2021-04-19 09:25:09,APPLIED Notification ,APPLIED MATERIALS - Submit Your Resume
2021-04-19 15:19:45,"SENDAN International Company Ltd.
 ","Job | Urgent opening for Pytrhon Developer /Senior Python Developer
 for Noida"
2021-04-19 10:43:05,Google ,Security alert
2021-04-19 10:44:49,Google ,Security alert for ksunnysingh4295@gmail.com
2021-04-19 11:00:09,hirist.com ,"10+ Matching Jobs from leading companies like Flipkart, Amazon, Paytm
 etc"
2021-04-19 18:35:18,Code Gladiators 2021 ,Participate In Code Gladiators & Win Prizes Worth Rs. 50 Lakhs
2021-04-19 18:51:07,TechGig Latest News ,"Google is hiring Computer Science engineers in India | Wipro is
 offering internship opportunity for BTech, BCA, MCA & BE freshers"
2021-04-19 18:59:48,TimesJobs Job Alert ,"Hi Sunny, Cognizant Technology Solutions is looking for : Senior
 Process Executive-Data"
2021-04-19 19:03:50,TimesJobs.com ,Career outlook for job seekers in 2021
2021-04-19 13:43:29,hirist.com ,Check out New Jobs Posted by Top Companies.
2021-04-19 10:05:58,Talent.com ,"Apply today for ML/ Python Developer jobs or check out 41+ related
 opportunities."
2021-04-19 22:27:02,TimesJobs Job Alert ,"Hi Sunny, Logic Eastern India Pvt Ltd is looking for : Java Tester"
2021-04-19 10:22:58,Notification@Jio.com,Data usage at 20% for Jio Number 8920689898
2021-04-19 14:31:08,Intel IoT Webinar ,In Case You Missed Our Previous Invite to the OpenVINO™ toolkit and Jupyter Notebooks Live Webinar
2021-04-20 00:24:08,TimesJobs Job Alert ,Sunny: Management Trainee/ Trainee jobs in axa xl & more - 20-Apr
2021-04-20 00:39:38,TimesJobs Job Alert ,"Sunny: Quadeye, Monotype Imaging Inc and Forstaffing jobs for you"
2021-04-19 12:12:50,Notification@Jio.com,Data usage at 20% for Jio Number 8920689898
2021-04-19 19:24:16,The Bitnami Team at VMware ,Help us improve Bitnami apps
2021-04-19 21:56:12,CAPGEMINI Notification ,CAPGEMINI - Submit Your Resume
2021-04-20 04:59:58,TimesJobs Job Alert ,"Hi Sunny, Kumar Consultant is looking for : Process Automation
 Applications and Cyber Security Specialist"
2021-04-19 23:32:55,Online Trading (FLASH) ,[Dont Miss Out] Earn Extra MONTHLY INCOME Through Online Trading
2021-04-19 18:26:15,Notification@Jio.com,Recharge successful for Jio Number 8920689898
2021-04-19 18:40:15,Notification@Jio.com,Data usage at 20% for Jio Number 8920689898
2021-04-19 21:02:33,Facebook for Developers ,Register now for Facebook's latest hackathon
2021-04-20 02:30:44,hirist.com ,"Top Jobs from Leading IT/Tech Companies like Flipkart, Redbus,
 Amazon, Paytm etc"
2021-04-20 08:27:04,TechGig Latest News ,"Cognizant is hiring Engineer Trainees across India | Wipro to roll
 out second salary hike for 1.97 lakh employees"
2021-04-20 08:53:37,TimesJobs Job Alert ,"Sunny: cloudxlab, FICO and TECHNOPARK TRIVANDRUM jobs for you"
2021-04-20 03:31:36,Amazon.in ,Call your friends & family with Alexa Hands-Free
2021-04-20 04:46:04,GitHub ,GitHub Explore today Apr 20
2021-04-20 04:54:14,Amazon.in ,Your Amazon.in order #403-6911470-6035518
2021-04-20 05:13:50,LinkedIn ,Capgemini Invent is looking for: Data Analyst.
2021-04-20 11:39:03,TimesJobs Research ,"Hi Sunny, Check out this job opening at DBS Bank; Here are the
 details"
2021-04-20 06:45:35,Internshala ,"Alumni of Indraprastha Institute, intern with Delhi Capitals and win an official DC crew kit, stipend...🌟"
2021-04-20 12:36:11,Team HR ,"Sunny Singh, check out new jobs similar to the ones you have applied"
2021-04-20 07:17:14,Amazon.in ,Delivered: Your Amazon package has been delivered.
2021-04-20 03:19:55,"Daniel Turk, SPN ",Forget Google: 30% off our Low Quarterly Rates
2021-04-20 13:03:09,TimesJobs Job Alert ,New matching job posted for you
2021-04-20 14:10:41,Naukri Alerts ,"Sunny Singh, check out the job applied by other Full Stack And ML
 Developer"
2021-04-20 08:52:10,Velotio Technologies Careers ,Job | Software Engineer at Velotio Technologies (Pune)
2021-04-20 15:00:36,TimesJobs Job Alert ,"Hi Sunny, hst staffing solutions is looking for : ""web Designer"""
2021-04-20 10:13:22,hirist.com ,"Publicis Sapient is hiring for - Publicis Sapient - Associate/Senior
 Associate - Frontend Development (3-8 yrs)"
2021-04-20 10:22:12,Tushar Rajpoot via LinkedIn ,"Sunny, start a conversation with your new connection, Tushar"
2021-04-20 16:08:05,=?UTF-8?B?VGFsZW50RWRnZQ==?= ,Team Talentedge
2021-04-20 11:11:40,hirist.com ,"10+ Matching Jobs from leading companies like Flipkart, Amazon, Paytm
 etc"
2021-04-20 17:43:06,TechGig Latest News ,"Wipro to roll out second salary hike for 1.97 lakh employees | Google
 is hiring Computer Science engineers in India"
2021-04-20 12:22:41,Google ,Security alert
2021-04-20 17:53:13,hst staffing solutions ,Vacancy | Web Designer (Noida Sec-27)
2021-04-20 18:07:29,Jigsaw Academy ,"Advance your career in a post-COVID world with Jigsaw Academy's
 placement assured programs"
2021-04-20 18:25:01,"Hst Staffing Solutions - Client of Shine.com
 ",Job | Urgent Hiring For Web Designer (Noida Sec-27)
2021-04-20 13:44:04,hirist.com ,Check out New Jobs Posted by Top Companies.
2021-04-20 14:08:18,Standard Chartered Credit Card (SCB) ,"Hello! You Are Invited to Apply for Standard Chartered DigiSmart
 credit card"
2021-04-20 10:36:56,Talent.com ,"Apply today for Machine Learning jobs or check out 42+ related
 opportunities."
2021-04-20 20:29:47,"APISERO GLOBAL INTEGRATION SOLUTIONS PRIVATE LIMIT
 ",Job | Senior Software Engineer (1-3 years)
2021-04-20 15:14:08,LENOVO Notification ,LENOVO - Submit Your Resume
2021-04-20 15:48:33,LinkedIn ,"Sunny, add Ritesh Kumar to your network"
2021-04-20 15:56:37,Google ,Security alert
2021-04-20 16:01:07,Ubuntu One ,Ubuntu One: Validate your email address
2021-04-20 16:04:12,Ubuntu One ,Ubuntu One: Password change notification
2021-04-20 16:07:10,Google ,Security alert for ksunnysingh4295@gmail.com
2021-04-20 09:08:54,"Microsoft account team
 ",New app(s) connected to your Microsoft account
2021-04-20 22:02:26,TimesJobs Job Alert ,"Sunny, Job in Delhi specially selected for you - Apply before its
 filled!!"
2021-04-20 22:02:26,TimesJobs Job Alert ,New matching job posted for you
2021-04-20 22:31:37,TimesJobs Job Alert ,"Hi Sunny, Ciena India Pvt Ltd  is looking for : Architect - Java
 Development"
2021-04-20 10:30:04,GitHub ,[GitHub] Please verify your device
2021-04-21 00:21:50,TimesJobs Job Alert ,"Sunny: Management Trainee/ Trainee jobs in Laxmi Infotech & more -
 21-Apr"
2021-04-21 01:08:12,TimesJobs Job Alert ,"Sunny, 4 Internet/E-commerce jobs for you - 21-Apr"
2021-04-21 03:30:46,Naukri Alerts ,"Sunny Singh, Top Openings for Data Scientist, Engineer, Product
 Developer"
2021-04-20 23:40:50,CAPGEMINI Notification ,CAPGEMINI - Submit Your Resume
2021-04-21 01:23:11,PFIZER - Post Your Resume ,PFIZER Notification
2021-04-21 02:38:45,hirist.com ,"Top Jobs from Leading IT/Tech Companies like Flipkart, Redbus,
 Amazon, Paytm etc"
2021-04-21 08:37:04,TechGig Latest News ,"Google is hiring Computer Science engineers in India | Cognizant is
 hiring Engineer Trainees across India"
2021-04-21 03:24:15,ALCATEL LUCENT - Post Your Resume ,LUCENT Notification
2021-04-21 08:58:08,TimesJobs Research ,"Hi Sunny, PayPal India is hiring for various job profiles; Check
 details"
2021-04-21 09:11:04,TimesJobs Job Alert ,International location jobs you may be interested in
2021-04-21 03:55:39,AMCAT Alerts ,"New jobs from Integra Solutions, Metadesign Software Services and
 TechO2 LLC"
2021-04-21 09:27:29,TimesJobs Job Alert ,"Hi Sunny, Appen Butler Hill Inc is looking for : Video Collection
 Project"
2021-04-21 04:25:42,GitHub ,GitHub Explore today Apr 21
2021-04-21 04:58:48,Admission Team at Talentedge ,Last Day to Enrol! Don't miss out on the Opportunity
2021-04-21 06:02:12,Care Health (Deepika) ,"Congratulations! Affordable Insurance for Coronavirus | Upto INR 1 CR
 Health Coverage"
2021-04-21 06:51:10,PFIZER - Post Your Resume ,PFIZER Notification
2021-04-21 12:35:11,Team HR ,"Sunny Singh, trending jobs (of the week) based on your recent
 activity"
2021-04-21 03:20:40,"Mike Reiss, SPNNews ",Your One Stop Guide to Selling on Amazon
2021-04-21 13:36:14,Naukri Alerts ,"New job - Data Analyst | More jobs matching your Custom Job Alert -
 Data Analyst Business Analytics Fresher Analyst Mnc Job Mnc"
2021-04-21 15:00:50,TimesJobs Job Alert ,"Hi Sunny, EXPEDIA is looking for : Software Development Engineer II"
2021-04-21 15:11:58,Team HR ,New jobs for Machine Learning Engineer
2021-04-21 15:31:00,TimesJobs Job Alert ,Sunny: seven star websolutions jobs for you
